Name;Test;Gordonpunkte;GF1;GF2;GF3;GF4;GF5;GF6;GF7;GF8;GF9;GF10;GF11;GF12;GF13;GF14;GF15;GF16;GF17;GF18;GF19;GF20;GF21;GF22;GF23;GF24;GF25;GF26;GF27;GF28;GF29;GF30;D1124;D110akod;D110a;D110a15;D110a25;D110a35;D113akod;D113a;D113a16;D113a26;D113a56;D114a;D114c;D114d;D115a23;D115c12;D116;D11613;D118eMCeinfach;D119a;D119b13;D12012;D12022;D17;D19kod;D1916;D1926;D21dkod;D21c12;D21c22;D21d;D23b;D24a;D24b;D24e;D24h;D25a;D26a55;D26b1;D26b2;D110b12bzw.D3;D31a;D31b;D32kod;D32;D34akod;D34a;D36a;D36b;D37b;D37c;D41dkod;D41d;D41f1;D41f2;D41f3;D4215;D4235;D43a23;D43a33;D44a44;D45a14;D45a24;D45b26;Geschlecht;TK1;TK2;TK3;Vollzeit;V_Vater;V_Mutter;Teilzeit;T_Vater;T_Mutter;Arbeitslos;A_Vater;A_Mutter;Diverses;D_Vater;D_Mutter;MFam1;MFam2;MFam3;MFam4;MFam5;K1_del;K2;K3;K4;K5;K6;MS;MS1;MS2;MS3;MS4;MS5;MS6;FU1;FU2;FU3;FU4;FU5;IM1;IM2;IM3;B1;B2;B3;B4;Dis;Dis1;Dis2;Dis3;Dis4;Dis5;Dis6;Unt1;Unt2;Unt3;Unt4;Unt5;Unt6;Unt7;Unt8;Inst.Erfahrung;Alter;welcheInstrumente;Instrument1;Instrument2;Instrument3;I1_5J;I1_6J;I1_7J;I1_8J;I1_9J;I1_10J;I1_11J;I1_12J;I1_13J;I2_5J;I2_6J;I2_7J;I2_8J;I2_9J;I2_10J;I2_11J;I2_12J;I2_13J;I3_5J;I3_6J;I3_7J;I3_8J;I3_9J;I3_10J;I3_11J;I3_12J;I3_13J;Orch.Erfahrung;Chor_1Ja;Chor.in.Schule;Chor.außerhalb;Chor.nein;Früherziehung;Geb.Land;Mus1.Klasse;Mus2.Klasse;Mus3.Klasse;Mus4.Klasse;Mus5.Klasse;Mus6.Klasse;Note5.Klasse;Note6.1Klasse;Bücheranzahl;W1;W2;W3;W4;W5;W6;W7;W8;W9;W10;W11;W12;W13;Mutterland;Vaterland;Spr.zuHause;Spr.mitEltern;Theta_achieve;Theta_Gordon;Theta_D1_4;Theta_D1;Theta_D2;Theta_D3;Theta_D4;erstTheta_D1;erstTheta_D2;erstTheta_D3;erstTheta_D4;erstTheta_U;erstTheta_D1_4;TKkod;MFamkod;Kkod;MSkod;FUkod;IMkod;Bkod;Diskod;Untkod;Chorkod;Früherkod;MusKlkod;Muskldicho;Bücherkod;Wkod;Mutterkod;Vaterkod;Geb.landkod;Migrationkoddich;Migrationkod;Theta_Vek;GF1kod;GF2kod;GF3kod;GF4kod;GF5kod;GF6kod;GF7kod;GF8kod;GF9kod;GF10kod;GF11kod;GF12kod;GF13kod;GF14kod;GF15kod;GF16kod;GF17kod;GF18kod;GF19kod;GF20kod;GF21kod;GF22kod;GF23kod;GF24kod;GF25kod;GF26kod;GF27kod;GF28kod;GF29kod;GF30kod;testvar2;unbegabtrekod;wwwkod;kkkkod;Notekod;theta_achieve_ausreiser
1, Schüler;GSG_06.06;58;0;0;1;1;0;2;0;1;0;1;0;0;0;1;0;0;1;0;0;2;0;2;0;2;0;0;2;-1;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;1;1;1;1;1;1;1;0;2;1;6;1;1;1;0;0;2;1;1;1;0;0;0;1;0;1;1;1;1;3;2;3; ;1;0; ;0;2; ;1;0; ;0;2;1;1;1;1;1;1;1;2;3;4;4;4;1;1;1;2;1;3;3;2;4;4;3;3;3;3;1;2;3;4; ;1;2;3;4;3;1;1;2;3;4;3;2;1;3;0;15;übersprungen;2;2;2;0;0;0;0;0;0;7;0;9;0;0;0;0;0;0;7;0;9;0;0;0;0;0;0;7;0;9;0; ;0;0;3;2;deutschland;2;2;2;2;1;1;2;2;3;1;1;1;1;1;1;1;1;0;0;0;1;1;deutschland;kroatien;deutsch;deutsch;,00880840000000012;-,18992;,0200500000000001;-2,12443;,81632;1,10671;,2816;-2,25815;,55379;1,10666;,46462;-,13098;-,03327;,416666666666667;1;2,5;1,6;3,2;3;2,5;2,33333333333333;2,44444444444444;0;0;,333333333333333;0;0;,769230769230769;0;1;0;1;1;10,3103714124613;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;1;0;1;1;,09771;4;,769230769230769;,6;4;,00880840000000012
17, Schüler;test17;60;0;2;1;0;0;2;-1;0;2;1;0;0;2;0;0;1;1;2;1;2;1;-1;0;2;1;1;2;0;-1;-1;0;0;0;1;0;1;1;0;1;1;1;1;1;0;1;1;0;0;0;0;1;1;0;1;1;1;1;0;1;0;3;1;1;0;0;0;0;0;1;0;0;1;0;0;2;1;6;0;0;0;1;0;4;0;0;0;1;1;0;0;1;1;0;1;0;2;2;1; ;1;0;übersprungen; ; ;übersprungen; ; ; ;0;2;2;2;2;2;2;2;1;1;1;2;1;2;3;2;1;3;2;4;3;2;3;1;1;3;2;2;3;3;2;3; ;2;2;2;2;2;2;2;4;1;4;2;2; ;2;1;11;flöte;1;1;1; ; ; ; ; ; ; ; ; ;0;2;0;0;0;6;0;0;0; ; ; ; ; ; ; ; ; ;0; ;0;0;3;2;deutschland;1;1;1;1;1;1;2;2;1;1;1;0;1;1;1;1;1;0;0;0;0;1;kosovo;kosovo;deutsch;albanisch;-,9476459;,58417;-,5338775;,30819;-,72838;-1,09379;-,62153;,27233;-,95735;-1,09376;-,36772;-,41671;-,536625;,166666666666667;2;1,25;2,4;2;2,33333333333333;2,75;2; ;0;0;1;1;0;,615384615384615;1;1;0;1;2;8,91022864404725;0;1;1;0;0;1;0;0;1;1;0;0;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0; ;2;,615384615384615;,0666666666666667;4;-,9476459
23, Schüler;test23;52;1;-1;1;0;1;2;-1;1;2;-1;0;0;2;0;1;0;-1;-1;0;2;0;2;1;-1;0;0;2;-1;2;-1;1;1;0;1;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;1;0;0;0;0;0;1;1;3;0;0;1;1;0;1;1;1;1;1;1;1;0;2;1;5;1;0;1;1;1;6;0;0;0;0;1;0;0;1;1;0;1;1;3;5;2; ;0;2; ;1;0;übersprungen; ; ;übersprungen; ; ;3;3;4;4;4;4;2;2;2;1;2;4;1;4;3;4;2;3;3;3;4;2;4;2;1;2;3;3;3;4; ;2;2;2;1;4;2;3;4;4;3;4;4;4;3;1;11;Flöte;1;übersprungen;übersprungen;1;2;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;1;0;0;1;Deutschland;2;2;2;2;1;1;1;2;4;1;1;1;1;1;1;1;1;0;1;1;1;1;Deutschland;Deutschland;Deutsch;Deutsch;,3781906;,00047;,488435;,65224;,81632;1,10671;-,62153;,27233;,55379;1,10666;-,36772;,32536;,391265;,583333333333333;3,6;1,75;3,2;3,2;1,66666666666667;3,25;2,16666666666667;3,44444444444444;1;1;,333333333333333;0;1;,923076923076923;0;0;0;0;0;10,7129819260606;1;0;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0; ;4;,923076923076923;,266666666666667;3;,3781906
5, Schüler;test5;47;0;2;-1;0;1;2;-1;0;2;-1;0;0;-1;0;0;0;0;0;0;2;1;0;0;-1;0;0;2;0;0;0;1;1;0;1;1;1;1;0;1;1;1;1;0;0;1;1;0;1;1;1;1;1;0;1;1;1;1;0;1;0;1;2;1;1;1;0;0;1;1;1;1;1;1;0;4;0;0;1;0;1;1;0;0;1;1;1;0;1;0;0;1;1;0;1;1;4;5;1; ;1;2;übersprungen; ; ;übersprungen; ; ;übersprungen; ; ;3;2;4;3;2;3;2;2;1;1;4;3;2;2;2;3;2;2;4;3;4;1;3;2;3;3;3;2;2;3; ;2;2;2;2;3;3;2;3;4;3;3;2;1;1;1;12;Klavier;1;übersprungen;übersprungen;0;0;0;4;5;6;7;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;1;0;0;2;deutschland;1;1;1;1;1;1;2;2;3;1;1;1;1;1;1;1;1;0;1;1;1;1;deutschland;deutschland;deutsch;deutsch,englisch;1,1445841;-,79433;,8415325;1,39872;1,16281;,523;,2816;1,52672;,88112;,52293;,46462;,88258;,8488475;,583333333333333;2,8;1,5;2,2;3;2,66666666666667;2,5;2,33333333333333;2,33333333333333;1;0;1;1;0;,923076923076923;0;0;0;0;0;11,5808369410807;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0; ;3;,923076923076923;,333333333333333;4;1,1445841
9, Schüler;test9;54;0;-1;1;0;-1;2;1;1;2;1;1;-1;2;0;0;1;1;2;1;2;0;-1;1;-1;0;0;2;0;-1;-1;1;1;0;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;4;2;1;1;0;0;0;1;1;1;1;1;1;1;5;1;6;1;0;1;1;0;5;0;0;0;0;0;0;0;0;0;0;1;0;1;3;2; ;1;0; ;0;2;übersprungen; ; ;übersprungen; ; ;2;4;3;1;3;2;2;1;1;1;3;4;1;4;3;3;2;3;3;3;3;3;3;1;1;2;4;4;3;3; ;2;2;4;1;1;2;3;3;3;3;3;3;3;2;1;12;1.Flöte, 2.Klavier;1;1;übersprungen;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;7;8;0; ; ; ; ; ; ; ; ; ;0; ;1;0;0;1;.; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.;.;übersprungen;übersprungen;,3296841;,58417;,7434525;2,36997;1,55295;1,79694;-2,74605;2,42488;1,23436;1,79694;-2,86541;,78622;,6476925;,25;2,6;1,25;3;3;1,33333333333333;3,5;2;2,66666666666667;1;1; ;0; ; ; ; ; ; ; ;11,8924760177559;0;0;1;0;0;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;0;0;1;0;0;0;1;0;0;0; ;4; ;,2; ;,3296841
14, Schüler;test14;54;0;-1;1;0;1;2;-1;1;2;1;1;0;2;1;1;0;-1;2;-1;2;0;-1;1;2;-1;0;-1;0;2;-1;1;1;0;1;1;1;0;0;1;1;0;0;1;1;1;1;0;1;0;0;1;1;0;1;1;1;1;0;0;0;1;0;1;1;0;0;1;0;1;1;1;1;1;0;2;2;7;0;1;1;1;0;3;0;0;0;0;0;0;0;1;1;0;0;0;1;2;1; ;1;0; ;0;2;übersprungen; ; ;übersprungen; ; ;3;3;3;2;3;3;1;1;2;2;4;3;2;3;3;3;1;3;1;4;3;2;3;2;1;2;1;3;3;3; ;3;2;2;3;3;3;2;3; ;2;2;3;3;4;1;12;schlagzeug;1;übersprungen;übersprungen;0;0;0;0;5;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;0;0;3;1;Deutschland;2;2;1;1;1;1;1;2;3;1;1;1;1;1;1;1;1;0;1;0;0;1;Deutschland;Deutschland;Deutsch;Deutsch;-,5775335;,7948;-,0542374999999999;1,01154;-,27938;1,79694;-2,74605;,86326;-,51478;1,79692;-1,95738;,05331;,047005;,0833333333333333;2,8;1,5;2,6;2,6;1,66666666666667;2,5;2,66666666666667; ;0;1;,666666666666667;0;0;,769230769230769;0;0;0;0;0;10,3709998682962;0;0;1;0;1;1;0;1;1;1;1;0;1;1;1;0;0;1;0;1;0;0;1;1;0;0;0;0;1;0; ;3;,769230769230769;,333333333333333;3;-,5775335
15, Schüler;test15;39;0;2;0;0;1;0;0;-1;-1;1;0;0;-1;0;0;1;0;-1;-1;2;0;0;0;-1;-1;0;-1;0;0;0;0;1;0;1;1;1;0;0;0;1;1;0;1;1;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;0;4;0;1;1;0;0;0;0;1;0;1;1;1;1;5;2;7;0;1;1;1;0;4;0;0;0;0;0;0;0;1;1;1;1;0;5;4;1; ;1;0; ;0;2;übersprungen; ; ;übersprungen; ; ;3;2;3;2;2;4;3;1;1;1;4;3;2;3;3;3;1;3;2;2;2;2;3;2;3;3;1;1;2;1; ;2;2;2;2;2;2;2;1;2;2;2;1;2;1;1;12;1. flöte2.altsaxophon;1;1;übersprungen;0;2;3;4;5;0;0;0;0;0;0;0;0;0;6;7;8;0; ; ; ; ; ; ; ; ; ;1; ;0;0;3;2;duetschland;2;2;2;2;1;1;1;2;5;1;1;0;1;1;1;1;1;0;0;0;1;1;deutschland;deutschland;deutsch;deutsch;1,1391349;-1,27287;,5872425;1,01154;-,27938;2,76538;-1,14857;,86326;-,51478;2,76548;-,81994;,32536;,573505;,583333333333333;2,4;1,5;2,6;2,2;2,66666666666667;1,25;2;1,66666666666667;0;0;,333333333333333;0;1;,692307692307692;0;0;1;1;1;11,4006246131385;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0; ;3;,692307692307692;,333333333333333;3;1,1391349
18, Schüler;test18;55;0;2;1;0;1;2;0;1;0;1;1;0;2;1;1;1;0;-1;0;2;1;0;0;-1;-1;0;2;0;-1;0;1;1;0;1;1;1;1;0;1;1;1;1;0;1;1;1;0;1;0;1;1;1;0;0;1;1;1;0;1;1;1;0;1;0;0;0;1;1;1;1;1;1;1;0;2;1;5;1;0;1;0;0;4;0;1;0;0;0;0;0;1;1;0;1;0;2;3;4; ;1;2;übersprungen; ; ;übersprungen; ; ;übersprungen; ; ;3;3;2;3;3;1;4;2;1;1;4;4;1;3;3;4;2;3;2;4;4;3;4;1;1;2;3;3;4;4; ;2;1;1;1;1;1;4;4;4;4;4;4;3;3;1;12;1.,Flöte 2.,Klavier;1;1;übersprungen;0;2;3;4;5;6;7;8;0;0;0;0;0;5;6;7;8;0; ; ; ; ; ; ; ; ; ;1; ;1;0;0;1;Deutschland;1;1;1;1;1;1;1;1;5;1;1;0;0;1;1;1;1;0;0;1;1;1;Deutschland;Deutschland;Deutsch;Deutsch;,00771410000000004;,58417;,4214825;1,83518;,47632;,523;-1,14857;1,18034;,22539;,52293;-,81994;,32536;,27718;,5;2,8;2;3;3,4;1,33333333333333;3,5;1,16666666666667;3,44444444444444;1;1;1;1;1;,692307692307692;0;0;0;0;0;10,503169104218;0;1;1;0;1;1;0;1;0;1;1;0;1;1;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0; ;4;,692307692307692;,466666666666667;2;,00771410000000004
2, Schüler;test2;60;0;2;1;-1;1;2;0;0;2;1;1;0;2;0;0;1;1;-1;0;2;1;2;0;-1;0;0;2;0;2;0;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;0;0;1;1;1;0;4;2;1;1;0;0;1;1;1;1;1;1;1;0;3;1;5;1;1;1;1;0;5;1;0;0;0;1;1;1;1;1;0;1;0;2;4;1; ;1;2;übersprungen; ; ;übersprungen; ; ;übersprungen; ; ;3;3;4;3;2;3;3;1;1;2;1;4;1;3;3;3;1;3;4;3;3;2;3;3;2;2;3;4;3;3; ;2;2;2;2;2;2;2;3;4;4;3;3;3;3;1;12;Habe Geige (1) gespielt, spiele Schlagzeug (2);1;1;übersprungen;0;0;0;4;0;0;0;0;0;0;0;0;0;0;6;7;8;0; ; ; ; ; ; ; ; ; ;0; ;1;0;0;2;Deutschland;1;1;1;1;1;1; ;2;4;1;0;1;1;1;1;1;1;0;1;0;0;1;Kasachstan;Kirgistan;deutsch;deutsch, fast nie russisch;,8437791;,58417;1,2575475;1,39872;1,55295;1,79692;,2816;1,52672;1,23436;1,79692;,46462;1,18763;1,255655;,333333333333333;3;1,75;2,6;3;2,33333333333333;3,25;2;3,11111111111111;1;0;1;1;1;,692307692307692;1;1;0;1;2;12,4350066063392;0;1;1;0;1;1;0;0;1;1;1;0;1;0;0;1;1;0;0;1;1;1;0;0;0;0;1;0;1;0; ;4;,692307692307692;,2; ;,8437791
20, Schüler;test20;44;-1;2;-1;-1;-1;0;0;1;2;1;1;0;-1;0;1;-1;-1;-1;1;2;1;-1;1;2;-1;-1;-1;1;-1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;1;0;1;0;1;1;1;0;0;0;0;1;1;1;1;0;1;0;2;1;5;1;0;1;1;0;5;0;0;0;1;0;0;0;0;1;0;1;1;1;4;1; ;1;0;übersprungen; ; ;übersprungen; ; ;übersprungen; ; ;2;1;2;2;2;3;3;3;2;2;4;2;3;1;1;1;1;2;1;2;3;1;1;3;3;3;3;3;3;3; ;4;3;3;2;1;2;3;3;1;3;1;3;1; ;1;12;FLÖTE;2;übersprungen;übersprungen;0;0;0;0;0;0;7;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ;1;0;0;2;DEUTSCHLAND;2;2;2;2;1;1;2;2;3;1;1;1;1;1;1;1;1;0;0;0;0;0;DEUTSCH;DEUTSCH;DEUTSCH;DEUTSCH;-,5828219;,00047;-,4725775;-,73137;,11734;,523;-1,79928;-,61382;-,12521;,52293;-1,33173;-,41671;-,3869575;,25;1,8;2,5;1,2;1,6;3;3;2,5; ;1;0;,333333333333333;0;0;,615384615384615;0;0;0;0;0;9,1855463165508;0;1;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;1;1;1;0;1;1;0;0;0;1;0;1; ;2;,615384615384615;,6;4;-,5828219
